# Screening exclusions derived from 2024 IRHD King County data.
# A property is listed when total_restricted_units >= total_units in a target city.
# These are screening exclusions, not a claim about current vacancy or current ownership.
# Format: city | property name
Bellevue | Adult Family Home 1
Bellevue | Adult Family Home 2
Bellevue | Aids Housing
Bellevue | Aids Housing, The Newporter
Bellevue | Aids Housing, Timberwood
Bellevue | Aids Housing, Woodside East
Bellevue | Andrew's Heights
Bellevue | Arjanwood
Bellevue | Bellevue Homes
Bellevue | Brandenwood
Bellevue | Broadstone Savoie
Bellevue | Cambridge Court
Bellevue | Chalet Apartments
Bellevue | College Place
Bellevue | Eastside Men's Shelter
Bellevue | Eastside Terrace
Bellevue | Eastwood Square
Bellevue | Ellis At Bel-Red [Big 1 Residential]
Bellevue | Garden Grove Apartments
Bellevue | Glendale Apartments
Bellevue | Habitat Overlake
Bellevue | Harrington House
Bellevue | Hidden Village
Bellevue | Hopelink Place
Bellevue | HSH Apartments
Bellevue | Illahee Apartments
Bellevue | Inclusion Housing Group Home
Bellevue | Kensington Square
Bellevue | Midlakes Condominiums
Bellevue | Midlakes Condos
Bellevue | Newport Apartments
Bellevue | Newport Hill
Bellevue | Newport Hills Condos
Bellevue | Ondina
Bellevue | Overlake Townhomes
Bellevue | Pacific Inn Apartments
Bellevue | Parkview III, Apple Orchard Condominium
Bellevue | Parkview III, Bellevue Highlands
Bellevue | Parkview III, Midlakes Condominium
Bellevue | Parkview VI
Bellevue | Plymouth Crossing
Bellevue | Porchlight Eastgate Men's Shelter
Bellevue | Provail Eastside Community Living Group Home
Bellevue | Redacted per RCW 43.185A.070
Bellevue | Scattered Leased Housing
Bellevue | Somerset Gardens
Bellevue | Sophia's Place
Bellevue | UCP Group Homes
Bellevue | Vicino Apartments [Northup Way]
Bellevue | Wildwood Apartments
Bellevue | YWCA Family Townhome
Bothell | Adult Family Home 6
Bothell | Adult Family Home 8
Bothell | Community Homes 5 And 6 Bothell
Bothell | Easternwood Co-Op
Bothell | Easternwood Family Housing
Bothell | New Ground Bothell
Bothell | Northlake House
Bothell | Oxford House
Bothell | Park Royal
Kirkland | 595 Kirkland Way Townhomes
Kirkland | Athene
Kirkland | Bloom
Kirkland | Casa Juanita
Kirkland | Cedarwood
Kirkland | FFC Group Home 7
Kirkland | FFC Group Homes 13311
Kirkland | FFC Group Homes 6515
Kirkland | Foy Extended Foster Care
Kirkland | Foy Transitional Housing
Kirkland | Grata At Totem Lake 4%
Kirkland | Houghton
Kirkland | Houghton Apartments
Kirkland | Iva Place
Kirkland | Juanita Court
Kirkland | Juanita Trace
Kirkland | Juanita View Apartments
Kirkland | Kirkland Heights Apartments
Kirkland | Kirkland Place
Kirkland | Kirkland Place For Families And Women
Kirkland | Kirkland Plaza Apartments
Kirkland | Kirkwood Terrace
Kirkland | Magnolia At Moss Bay
Kirkland | New Bethlehem Place
Kirkland | Redacted per RCW 43.185A.070
Kirkland | Salisbury Court
Kirkland | Senderos
Kirkland | Steeple Rock
Kirkland | The Brynn
Kirkland | The Pine
Kirkland | Totem Six Plex
Kirkland | Transitional Housing
Kirkland | Vantage On Market
Kirkland | Velocity
Kirkland | Woodlands Reserve Townhomes
Kirkland | Youth Haven
Redmond | Adult Family Home 4
Redmond | Adult Family Home 5
Redmond | Avondale Manor
Redmond | Avondale Park Shelter
Redmond | Centre Cottages [Croquet Club]
Redmond | Community Homes 5 And 6 Redmond
Redmond | Cru At Willows [Proctor Willows 2]
Redmond | Eaves Redmond Campus
Redmond | Encore At Rose Hill
Redmond | Forest Glen
Redmond | Forest Grove
Redmond | Habitat Patterson Park
Redmond | Horizon At Together Center
Redmond | Hue Apartments [Redmond Sunrise]
Redmond | John Gabriel House
Redmond | Porch And Park
Redmond | Redmond House
Redmond | Sequoia Glenn II
Redmond | Spectra
Redmond | Stillwater House
Redmond | Terrace Hill
Redmond | The Piper [LMC South Park]
Redmond | UCP Eastside ITS Program
Redmond | Urbane: Rental
Redmond | Willows 124 (Proctor Willows 1)
Redmond | YWCA Family Village
Woodinville | Seventh Adult Family Home
Woodinville | Wells Wood
Woodinville | Woodcreek Lane
